player_name,team,conf,GP,Min_per,dunksmade,stops,pts
Matthew Wright,St. Bonaventure,A10,31,38.9,1,90.7961,4.7097
Calvin Douglas,San Jose St.,WAC,32,45.9,0,69.6333,6
Brylle Kamen,San Jose St.,WAC,9,14.1,1,36.5623,5.1111
Xavier Humphrey,Marshall,CUSA,7,0.6,0,1.26452,0.2857
Will Sheehey,Indiana,B10,32,34.5,10,70.8203,4.8438
Victor Oladipo,Indiana,B10,32,44.8,18,115471,7375
Shabazz Napier,Connecticut,BE,41,58.4,0,180847,7.8049
Talib Zanna,Pittsburgh,BE,27,23.4,9,62.0119,3.7037
Dante Taylor,Pittsburgh,BE,33,36.4,27,93.4807,5.0606
Lamar Patterson,Pittsburgh,BE,32,29.4,2,66.8447,2625
Nick Rivers,Pittsburgh,BE,12,1.7,0,3.61477,0.4167
Marquis Sloan,USC Upstate,ASun,28,33.5,0,68.3865,2.3929
Devin Long,Cleveland St.,Horz,15,4,0,7.72165,1.2667
Lonnie Smith,Louisiana Tech,WAC,30,55.6,1,109498,6.1667
Brandon Boggs,Western Carolina,SC,32,65.4,11,144443,7.7188
Aaron Bright,Stanford,P10,31,47,0,85.1974,5129
Blake McDonald,Texas A&M,B12,9,1.2,0,2.00297,0.3333
Alex Baird,Texas A&M,B12,4,0.3,0,0.74953,0.5
Ralph Watts,Albany,AE,31,36.2,1,65.5841,3.0645
John Puk,Albany,AE,32,49.7,1,112506,2.4688
Marcus James,Sam Houston St.,Slnd,27,41.6,11,91.4164,4.3333
Nafis Richardson,Sam Houston St.,Slnd,27,52.4,3,89.0611,7.1111
Kalif Bakare,UTSA,Slnd,9,2.7,0,5.85294,0.5556
Gorkem Sonmez,Radford,BSth,26,57.2,0,99.0784,8.1154
Louis Ellis,Northwestern St.,Slnd,27,49.4,1,108.19,9.1852
Jeremy Robinson,Radford,BSth,26,50.2,1,84.4849,4.5385
Josh Seligson,UNC Asheville,BSth,6,0.9,0,4.36393,1
C.J. Leslie,North Carolina St.,ACC,30,59.6,45,151522,11
Tyler Thornton,Duke,ACC,34,22.8,0,59.6156,1.6471
Josh Hairston,Duke,ACC,27,11.1,2,28.5866,1.4444
Kyrie Irving,Duke,ACC,11,20.5,0,61.4034,17.4545
Jamar Taylor,Georgia St.,CAA,16,7.4,2,17.1131,0.9375
Preston Ross,Western Carolina,SC,32,37,5,86.6043,3.7188
Jay Copeland,Ball St.,MAC,6,2.7,0,4.8079,0
Matt Kamieniecki,Ball St.,MAC,22,24.2,1,52.1393,2.9091
Trevor Releford,Alabama,SEC,37,77.7,0,200366,11027
Karam Mashour,UNLV,MWC,12,6.7,2,15.2134,2.25
Quintrell Thomas,UNLV,MWC,33,38.3,11,112734,6697
Tyler Reynolds,Fairleigh Dickinson,NEC,28,32.8,0,49.8234,2.6429
Tom Herzog,UCF,CUSA,28,35.1,12,103281,5.6429
Briahn Smith,Fairleigh Dickinson,NEC,28,44.6,1,85.6223,6.1071
Mathias Seilund,Fairleigh Dickinson,NEC,26,36.4,1,59.2316,4.6154
Eric McKnight,Iowa St.,B12,14,4.2,1,10.5892,1.0714
Jordan Railey,Iowa St.,B12,25,17.5,2,45.2081,2
DeMarcus Phillips,Iowa St.,B12,8,5.9,0,13.8107,2.5
Jeremiah Bowman,Longwood,ind,26,74.8,0,133231,12.1538
David Robinson,Longwood,ind,26,29.6,0,45.8808,3.3077
Mike Byron,Gardner Webb,BSth,30,33.7,4,79445,3.5667
Regis Huddleston,Troy,SB,28,50.2,0,89.0341,8
Jacob Liebert,Navy,Pat,10,1.2,,1.95708,0
Sheridan Shayne,Idaho,WAC,2,0.3,0,0.384937,0
Jay Royster,Gardner Webb,BSth,12,2.9,0,5.82537,0
Torian Oglesby,Bowling Green,MAC,27,33.1,19,85.4596,3963
Craig Sealey,Bowling Green,MAC,19,10.3,5,21.0326,2.1053
DeAndre Nealy,Kent St.,MAC,12,5.5,0,12.0159,0.8333
Lukas Winegarner,Radford,BSth,25,24.1,2,46.3897,2.84
Martins Abele,Radford,BSth,17,28.4,1,65.8076,5.4706
Jayon James,Iona,MAAC,12,5,0,15.1728,0.5
Randy Dezouvre,Iona,MAAC,32,17.3,1,50.3298,3.3438
Nick Turner,Kennesaw St.,ASun,21,11.5,0,16.4185,0.6667
Raheem Singleton,Maine,AE,29,59.2,0,107395,8.7241
Gorgui Dieng,Louisville,BE,29,31.6,24,105295,5.6552
Mike Dabney,Bowling Green,MAC,16,11.7,0,28.8758,2.8125
Eric Griffin,Campbell,ASun,29,67.6,30,198854,13.1724
Andrew Griffin,Virginia Tech,ACC,6,1.1,0,3.7094,0.3333
Julian Boyd,LIU Brooklyn,NEC,33,64.4,30,211234,13.0303
Eddie Rios,Texas St.,Slnd,27,54.7,0,105444,8.7778
