player_name,team,conf,GP,Min_per,dunksmade,stops,pts
DeAndrae Ross,South Alabama,SB,26,29.5,,49.9644,3.8846
Pooh Williams,Utah St.,WAC,34,60.9,,111929,5.9412
Jesus Verdejo,South Florida,BE,27,72,,115021,12.1852
Mike Hornbuckle,Pepperdine,WCC,30,44.5,,84.1698,4.9333
Anthony Brown,Pacific,BW,33,56.2,,128028,7.5758
Nick Rodgers,Butler,Horz,6,0.7,,1.67346,0
Dana Smith,Longwood,ind,27,77.8,,177853,15.2593
Matt Beck,Fordham,A10,19,10.4,,13.5667,0.4737
Justin Drummond,Wagner,NEC,30,82.8,,204494,10.5
Jamal Smith,Wagner,NEC,30,80.4,,172.97,11.8667
Tyrell Biggs,Pittsburgh,BE,34,57.9,,127819,6.4706
Alex Hornat,Connecticut,BE,2,0.1,,0.183625,0
Simon Harris,North Carolina St.,ACC,19,18.4,,34.3618,1.2632
Gary Wilkinson,Utah St.,WAC,34,79.9,,184235,16.8824
Tawrence Walton,Chicago St.,ind,30,67.3,,147075,7.4333
Garrett Temple,LSU,SEC,35,75.2,,206993,7.0571
Carlos Strong,Boston University,AE,12,16.6,,30.6622,6.4167
Sherrod Smith,Boston University,AE,10,2.8,,6.64928,0.7
Eulis Stephens,Detroit,Horz,26,55.5,,100.76,8.0769
Scott Brittain,Boston University,AE,27,52.1,,118696,7.4444
Brett Gifford,Albany,AE,31,45.7,,108.42,2.5161
Valdas Sirutis,Boston University,AE,19,8.6,,17.0818,0.4737
Corey Lowe,Boston University,AE,29,84.8,,170404,17.1724
Grant Leiendecker,Butler,Horz,25,12.4,,19.6055,1.68
Patrick Bouli,Manhattan,MAAC,21,36.7,,75.3066,2381
Antoine Pearson,Manhattan,MAAC,30,59.3,,125822,7.5333
Jamel Ferguson,Manhattan,MAAC,21,21.8,,47.7475,3.2381
Chris Harris,Navy,Pat,30,85,,178942,15.4333
T.J. Topercer,Navy,Pat,16,7.2,,13.9378,1
Brandon Adams,Manhattan,MAAC,29,33.9,,79.7776,3.4138
Darryl Crawford,Manhattan,MAAC,30,69.5,,161207,14.4333
Carlin Hughes,Saint Mary's,WCC,32,59.8,,122345,8.3125
Jabari Deshields,Alabama A&M,SWAC,11,6.5,,17.3097,1.3636
Charles Jenkins,Hofstra,CAA,31,86.2,,199.39,19.5161
Pierre Curtis,James Madison,CAA,35,74.8,,192881,9.3714
Greg Washington,Hofstra,CAA,30,48.7,,151286,5.6333
Matt Parker,James Madison,CAA,20,9.6,,21.1052,2.05
Shane Laurie,Missouri St.,MVC,12,20.5,,37.0412,3.5
Alonzo Gee,Alabama,SEC,30,80.2,,179248,15.1667
Brandon Hollinger,Alabama,SEC,24,20.3,,34.3119,2.0833
Tyrese Rice,Boston College,ACC,33,80.3,,186791,16.8788
Evan Neisler,Drexel,CAA,28,60,,129205,7.9286
Mike Wilson,Chicago St.,ind,30,64.5,,132547,7.9667
Moussa Camara,Binghamton,AE,23,25,,43.0736,3.3913
Otis Polk,Bowling Green,MAC,31,55.5,,124692,6.0323
Chris Knight,Bowling Green,MAC,23,30.3,,73.8249,6.1739
Marc Larson,Bowling Green,MAC,16,26.8,,50.1905,3.3125
Landon Milbourne,Maryland,ACC,35,71.7,,182427,11.4286
Eric Hayes,Maryland,ACC,35,72.6,,172447,10.2857
Jerome Burney,Maryland,ACC,9,4.8,,12.7488,0.8889
Levi Knutson,Colorado,B12,29,38.4,,70.7817,3.9655
Jeremy Wise,Southern Miss,CUSA,29,89.5,,178318,16.6897
Frank Hassell,Old Dominion,CAA,35,46.6,,135203,7.4857
Josh Akognon,Cal St. Fullerton,BW,31,89.4,,169646,23.8387
Kyle Bjornstad,Oregon St.,P10,8,0.8,,1.27064,0
Randy Spaid,St. Francis PA,NEC,18,10.2,,18.9265,1.4444
James Doran,Pacific,BW,33,38.1,,72.8064,6.1212
Carlton Fay,Southern Illinois,MVC,30,64.7,,125707,10.1667
Leon Young,Loyola Chicago,Horz,20,32.3,,58.8798,7.3
Kyle Taber,Indiana,B10,30,62.1,,141531,4.3333
Paul Campbell,Hawaii,WAC,28,31.7,,62.9277,2.9286
Adhar Mayen,Hawaii,WAC,29,44.3,,79.5373,4.1379
Kareem Nitoto,Hawaii,WAC,29,72,,139092,7.3103
Zach Hahn,Butler,Horz,29,35.1,,62.9834,5.1724
Matt Howard,Butler,Horz,31,70,,180.3,15.0323
Shawn Vanzant,Butler,Horz,28,29.8,,61.7333,3.6071
Monty Sanders,Elon,SC,29,44.2,,93.0848,5.7586
Lawrence Dixon,Holy Cross,Pat,19,7.4,,11.2464,1.2632
Greg McCarthy,Holy Cross,Pat,28,29,,68.9047,3.6786
Alex Vander Baan,Holy Cross,Pat,26,41.6,,96.4714,5.2692
Juwann James,James Madison,CAA,23,39.7,,112539,14.1304
Kyle Swanston,James Madison,CAA,34,69.8,,158.26,11.2353
J.R. Blount,Loyola Chicago,Horz,31,84.6,,168295,13.1613
Elliott Cole,Vanderbilt,SEC,10,1.5,,3.23271,0.3
Gerard Smith,VCU,CAA,14,1.5,,2.72692,0
George Barbour,Monmouth,NEC,26,16.7,,41.7528,2.8462
James Hett,Monmouth,NEC,28,68.2,,120958,4.1071
Julian McClurkin,North Carolina A&T,MEAC,29,38.6,,78.9353,2.3793
Thomas Coleman,North Carolina A&T,MEAC,29,66.6,,173553,7931
Kenny Dawkins,Lamar,Slnd,21,71.7,,127573,14.4286
Kyle Riley,Howard,MEAC,30,60.9,,125055,9.4333
Jay Brown,Lamar,Slnd,26,68.1,,178202,12.5385
Noah States,Furman,SC,28,52.2,,98.2063,6.0357
Adam Walker,Howard,MEAC,23,40.6,,96083,4.6522
Darren Townes,Hofstra,CAA,29,37.9,,95.8599,3.7241
Isaiah Tate,George Mason,CAA,28,19.3,,43.7271,1.9286
Vlad Moldoveanu,George Mason,CAA,7,5.2,,11.4504,2.2857
Tyren Johnson,Louisiana Lafayette,SB,29,58.9,,137.03,7.1379
Dane Johnson,Hofstra,CAA,29,35.3,,93.5163,4.2414
Wesley Matthews,Marquette,BE,35,84.8,,224765,18.3143
Jerel McNeal,Marquette,BE,35,87.3,,249531,19.8
Tamir Johnson,Central Connecticut,NEC,27,28.5,,61.4422,2963
Weyinmi Efejuku,Providence,BE,33,73.5,,176448,15.6667
Geoff McDermott,Providence,BE,33,74,,240135,8.1515
Pawel Buczak,Princeton,Ivy,26,59,,115093,7.6923
Aaron Hall,Central Connecticut,NEC,25,38.4,,74.6194,4.64
Calvin Baker,Virginia,ACC,28,61.7,,124412,8.3929
Yaniv Simpson,Monmouth,NEC,26,40,,73.6667,7.7308
Ousman Krubally,Georgia St.,CAA,27,24.6,,54.5768,3
Howard Crawford,UAB,CUSA,33,51.6,,110387,7.9091
Ryan Reid,Florida St.,ACC,35,47.4,,125834,4.9143
Uche Echefu,Florida St.,ACC,33,52.3,,140154,8.0909
Kyle Singler,Duke,ACC,37,80.4,,255606,16.4595
Nolan Smith,Duke,ACC,34,49.5,,124644,8.3824
E'Twaun Moore,Purdue,B10,37,81.9,,218314,13.8378
Chris Reid,Purdue,B10,15,2.1,,4.76231,0.0667
JaJuan Johnson,Purdue,B10,37,66.8,,197456,13.4324
Tristan Worrell,Lamar,Slnd,25,59.5,,93.9725,6.8
Kyndall Dykes,New Orleans,SB,24,77.3,,158.42,17.2083
Tyrone Nash,Notre Dame,BE,33,26.2,,75.9288,2.7879
Junior Salters,Wofford,SC,24,67.3,,124211,14.5833
Jerome Randle,California,P10,33,86.9,,173786,18.2727
Jordan Hill,Arizona,P10,34,86.3,,251586,18.2647
Chase Budinger,Arizona,P10,35,93.7,,237463,18
Tim Johnson,Wofford,SC,29,69.4,,182658,10069
Stefon Jackson,UTEP,CUSA,37,89.4,,226978,24.5405
Corey Godzinski,Wofford,SC,22,46.3,,79.6125,6.8636
Travis Hill,Centenary,Sum,26,19.1,,30.1805,0.8077
Eduardo Bermudez,Appalachian St.,SC,23,37,,87.6454,5.8696
Morgan Kelly,Brown,Ivy,22,21.7,,34.1321,2.0909
Sean Kane,Brown,Ivy,18,12.6,,18.5757,2.2778
Ryann Abraham,Appalachian St.,SC,16,27.8,,67983,9.3125
Robo Kreps,Illinois Chicago,Horz,30,81.9,,154.43,12.5333
Peter Sullivan,Brown,Ivy,28,89.4,,156.4,14.2857
Matt Mullery,Brown,Ivy,28,82.4,,183288,16.1429
Jason Vegotsky,Bucknell,Pat,23,20.2,,41.7425,2.8696
Andrew Fleming,Long Beach St.,BW,19,9.2,,22.1896,1
Duncan McLean,Richmond,A10,6,0.8,,2.85116,0.8333
Eugene Harvey,Seton Hall,BE,31,83.7,,161126,12.0968
Drew Smith,Auburn,SEC,3,0.2,,0.671662,0
Tim Lang,Stetson,ASun,28,53,,116996,6.3214
L.D. Williams,Wake Forest,ACC,31,68.7,,142824,7.9677
Emmanuel Holloway,Illinois St.,MVC,34,74.8,,187056,10.2647
Chad Troyer,Pacific,BW,32,64.2,,109862,10.9062
Carlos Monroe,Florida Atlantic,SB,11,23.4,,64.0439,11.3636
Matthew Miller,Texas Southern,SWAC,32,79.6,,149516,12375
D.J. Gay,San Diego St.,MWC,34,65.9,,121687,5.8235
Zavier Anderson,Clemson,ACC,7,0.9,,3.66629,0.2857
Scott Warner,Oklahoma St.,B12,4,0.4,,1.68233,0.25
Adam Carp,Nevada,WAC,5,1.3,,3.30709,0.8
Dante Jackson,Xavier,A10,34,65.8,,179.97,6.6471
David Merritt,Michigan,B10,34,32.9,,65.9306,1.7941
Justin Rutty,Quinnipiac,NEC,30,77.4,,182823,14.8333
Dante Curry,Georgia St.,CAA,21,33,,62.6339,6.9048
Tyler Jones,Eastern Michigan,MAC,24,60.9,,101532,5.0833
Matthew Dotson,Belmont,ASun,33,66.6,,151915,12.1515
Keaton Belcher,Belmont,ASun,33,39.7,,103699,7.1212
John Pichon,McNeese St.,Slnd,27,80.6,,154469,11
Graeme Radford,Stetson,ASun,25,14.3,,28.9568,0.92
Ross Forman,Loyola Chicago,Horz,18,28.6,,50.0477,3.6667
David Carson,IPFW,Sum,29,80.4,,148727,14.9655
Justin Orr,Ohio,MAC,31,68.6,,144635,10.2903
Eric Maynor,VCU,CAA,34,88,,211625,22.3529
Tim Pierce,San Jose St.,WAC,25,60.9,,121766,11.16
Kevin Langford,TCU,MWC,30,76.2,,143874,14.0667
Grant Maxey,Jackson St.,SWAC,33,77.4,,226363,16.3939
Jason Averkamp,Milwaukee,Horz,26,17.8,,37.5394,2.1923
Russell Hicks,FIU,SB,18,27.6,,66.6396,8.6667
Adam Gore,Cornell,Ivy,13,8.6,,16.0171,2.3846
Woody Payne,Detroit,Horz,29,75.9,,175683,8069
Daviin Davis,Weber St.,BSky,30,63,,168649,9.4333
Josh Heytvelt,Gonzaga,WCC,33,72.8,,193272,14.9091
Julius Thomas,Portland St.,BSky,30,52.1,,126.52,6.8333
Zahir Carrington,Lehigh,Pat,29,75.2,,187674,14.0345
Marquis Hall,Lehigh,Pat,29,80.7,,198678,13931
Ernest Fields,Austin Peay,OVC,26,38,,102229,4.6538
Duran Roberson,Austin Peay,OVC,25,12.3,,26.2938,1.6
Romain Martin,Eastern Illinois,OVC,28,75.9,,137227,14.8929
Scott Brooks,Navy,Pat,25,12.8,,30.3091,1
James Spencer,Liberty,BSth,28,24,,51544,0.8571
Jeremy Evans,Western Kentucky,SB,33,63.3,,173796,8.5455
Amorrow Morgan,Idaho St.,BSky,30,82.4,,155529,13.6333
Donnie Carson,Idaho St.,BSky,31,57.9,,126991,6.3548
Kenneth van Kempen,Ohio,MAC,31,37.5,,80565,3.2581
A.J. Slaughter,Western Kentucky,SB,32,83.9,,181792,16.0312
Louis Birdsong,George Mason,CAA,33,56.3,,140389,6.4242
Trae Goldston,Georgia St.,CAA,30,68,,100371,10.9
Derek Drews,Western Michigan,MAC,31,61.8,,109176,7.9032
Orlando Mendez-Valdez,Western Kentucky,SB,33,83.9,,186.94,14.4545
Yannick Formbor,Drexel,CAA,17,12.2,,23.9149,1.1765
Micah Downs,Gonzaga,WCC,33,63.5,,167127,9.5758
Kurt Hoffman,St. Francis PA,NEC,29,57.2,,102.08,4.3448
Matt Lawrence,Missouri,B12,38,52,,139405,9.1842
Leo Lyons,Missouri,B12,37,56.6,,192784,14.5676
Josh White,North Texas,SB,31,82.3,,145.17,11.2581
Kenny Hasbrouck,Siena,MAAC,35,76.2,,215427,14.6286
Cleveland Richard,Army,Pat,30,80.6,,185071,12
Bryan LeDuc,Pacific,BW,33,58.7,,144455,11.5152
Michael Kirby,Pacific,BW,26,52.6,,96.1652,9.6538
Will Walker,DePaul,BE,33,86.1,,176035,14.6364
Earl Clark,Louisville,BE,37,85.4,,265066,14.1892
Edgar Sosa,Louisville,BE,37,49.4,,114161,7.2973
James Dews,Miami FL,ACC,31,62.4,,128726,8.3226
Jeremy Hazell,Seton Hall,BE,31,89.3,,178967,22.6129
Daven Harmeling,Washington St.,P10,30,45.2,,77.9028,3.8333
Morris Cain,Wisconsin,B10,8,1.1,,2.04688,1
Yima Chia-Kur,Arkansas St.,SB,14,21.9,,39.9665,6.6429
Shawn Morgan,Arkansas St.,SB,28,61.8,,142384,7.8929
Jonathan Adams,Old Dominion,CAA,34,53.3,,123765,5.0882
Marcus Britt,Arkansas,SEC,30,46.5,,107806,3.7333
Marcio Lassiter,Cal St. Fullerton,BW,30,63.4,,118351,8.9333
Jean Michel Yotio,UCF,CUSA,27,14.1,,29.2281,1.1852
Malcolm White,Mississippi,SEC,31,61.6,,146754,7.1935
Steffphon Pettigrew,Western Kentucky,SB,33,73.9,,156.5,13.0606
Austin Kilpatrick,Idaho St.,BSky,30,36.5,,78.7769,4.3
Brandon Webster,Fresno St.,WAC,27,17.8,,39.9102,2.1111
Nedeljko Golubovic,Fresno St.,WAC,33,74.2,,160567,7303
Derek Johnson,Prairie View A&M,SWAC,28,82.2,,182953,10.5
Josh Bedwell,Samford,SC,30,46.8,,74.8821,7.1667
Ivory McGilvery,Prairie View A&M,SWAC,16,3.8,,6.04175,375
Sam Singh,Bradley,MVC,34,43.7,,122612,4.7353
Andy Wicke,Belmont,ASun,33,79.3,,195904,11.7273
Henry Harris,Belmont,ASun,28,29.4,,67.2938,2.6429
Bryan Geffen,Quinnipiac,NEC,31,71.8,,137215,9.1613
Takayo Siddle,Gardner Webb,BSth,24,29.7,,51.4422,4.7917
Tyler Quinney,Southern Utah,Sum,28,84.3,,147875,14.2857
Horace McGloster,Houston,CUSA,25,15.7,,34.4011,1.96
Terrell Bell,Virginia Tech,ACC,32,28.8,,71.5637,2.3438
Malcolm Delaney,Virginia Tech,ACC,34,90.3,,209157,18.0882
Justin Dehm,Furman,SC,27,70.8,,108592,9.5185
Will Sherrill,Virginia,ACC,10,1.8,,2.3756,0.1
John Clifford,Southern Utah,Sum,29,75.5,,163455,9
Brian Mills,Mercer,ASun,31,48.9,,113229,6.2903
Mark Hall,Mercer,ASun,31,54.6,,110.42,5.1935
George Valentine,Winthrop,BSth,29,46.7,,99.7841,4.7931
Josh Slater,Lipscomb,ASun,30,70.4,,182447,10.8667
Alphonso Dawson,Delaware,CAA,32,80.9,,178.31,14.0625
Edwin Santiago,Delaware,CAA,32,25.7,,61.7088,2.3125
D.J. Boney,Delaware,CAA,29,36.9,,67.7306,4.3448
Frank Tchuisi,Villanova,BE,23,5.2,,13.1921,913
Marc Egerson,Delaware,CAA,32,90.3,,263902,15375
Dwayne Anderson,Villanova,BE,31,53.1,,185953,8.9677
Dante Cunningham,Villanova,BE,38,78.6,,260896,16.1053
Josh Thornton,Towson,CAA,32,59.8,,103915,11.1562
Dominic James,Marquette,BE,29,64.8,,183132,10.9655
Jessie Sapp,Georgetown,BE,31,62.3,,144317,6.4839
Cory Norman,Arkansas Pine Bluff,SWAC,13,5,,10.3314,0.5385
Dwight Burke,Marquette,BE,35,48.1,,107956,2.8286
Delbert Simpson,Baylor,B12,7,1.7,,6.6497,1
Jason Tolliver,Arkansas Pine Bluff,SWAC,6,2.6,,4.43901,1.3333
Travis Cohn,Jacksonville,ASun,32,52.3,,120043,6.8438
Cory Higgins,Colorado,B12,30,91.2,,220986,17.1333
Kenrick Zondervan,UCF,CUSA,30,57.1,,112063,7
Greivis Vasquez,Maryland,ACC,35,85.5,,231556,17.5143
P.J. Keaton,Arkansas St.,SB,25,34.4,,51.35,3.36
Michael Lance,Arkansas St.,SB,26,39.7,,67.8171,4.4615
Carderro Nwoji,Florida Atlantic,SB,28,69.6,,118627,8.6786
Avery Merriex,Air Force,MWC,24,17.8,,26.4531,0.9167
Travis Bureau,Louisiana Lafayette,SB,26,68.5,,131617,12.3462
Alex Kellogg,Providence,BE,19,5.4,,12.1955,0
Randall Hanke,Providence,BE,33,38.4,,91.9302,8
LaceDarius Dunn,Baylor,B12,38,71.3,,192726,15.7368
Chase Buford,Kansas,B12,11,1,,3.02599,0.3636
Tyrel Reed,Kansas,B12,35,51.5,,117075,6.5143
Casey Harriman,Creighton,MVC,35,38.3,,93.4112,3.6286
Jarrett Mathis,Dartmouth,Ivy,4,1,,4.12148,1
John Moonshower,Army,Pat,20,18,,45.9705,3.9
Curtis Koszuta,Army,Pat,6,0.8,,1.98166,0
Jakari Johnson,IPFW,Sum,21,32.3,,90.1561,5.4286
Jordan Nichols,American,Pat,32,66.9,,160.89,5.1875
Kenny Brewer,Army,Pat,28,32.3,,75.3484,4.6429
Arminas Urbutis,Hofstra,CAA,31,37.1,,91.7052,2.9677
Lawrence Kinnard,UAB,CUSA,34,83.6,,248.55,14.0294
Jermaine Taylor,UCF,CUSA,30,79.8,,173.33,26.0333
Doug Williams,Army,Pat,30,47.3,,117411,4.6
Drew Speraw,UCF,CUSA,18,5.8,,9.34668,1.1667
Anthony Hill,Milwaukee,Horz,30,36.9,,82.9295,5.4333
Michael Harrington,Detroit,Horz,29,46.1,,96.4511,5.3103
Rahmon Fletcher,Green Bay,Horz,31,69.9,,159408,11129
Nick Lake,Princeton,Ivy,23,28.1,,42.6032,3.4783
Vinny Lima,Northeastern,CAA,29,19.6,,41.4214,1.7931
Brian McDonald,Northeastern,CAA,12,1.5,,2.02421,0
Robert Frozena,Marquette,BE,11,1.6,,3.32625,0.3636
Tony Anderson,Furman,SC,27,39.3,,57486,2.3333
Alex Opacic,Furman,SC,28,45.2,,82.1923,5.8929
Larry Jackson,Florida A&M,MEAC,31,52.4,,123.63,6.3548
Leonard Mendez,Georgia St.,CAA,30,67.7,,123626,8.5333
John Conine,Northwestern St.,Slnd,7,0.6,,0.702724,0
Kenith Ward,Georgia Southern,SC,25,39.1,,67.2272,2.32
Nikola Dragovic,UCLA,P10,34,58.4,,152425,9.4118
Daniel Hackett,USC,P10,35,92.7,,224463,12.2857
Jeff Allen,Virginia Tech,ACC,33,73.2,,244211,13.6667
Steve McNees,Akron,MAC,35,53.8,,116358,5.8
Marko Deric,Loyola Marymount,WCC,30,53.1,,94.1264,3.7667
Johnny Mayhane,Tulane,CUSA,29,25.7,,45.4051,3.2069
Kevin Sims,Tulane,CUSA,30,86.8,,140464,13.0333
Asim McQueen,Tulane,CUSA,30,69.9,,128168,7.5667
Chris Kanne,Loyola Marymount,WCC,26,21.8,,33.4093,2.1538
Andre Stephens,Southern Miss,CUSA,29,62.2,,122177,5.6552
Obi Muonelo,Oklahoma St.,B12,35,74.7,,217264,12.6857
Ryan Anderson,Nebraska,B12,30,57.8,,149817,7.1
Kris Douse,Delaware St.,MEAC,30,34.3,,62.1794,3.5333
Ryan Bathie,Nicholls St.,Slnd,28,77.5,,151851,15.6071
Kevin Goffney,Chattanooga,SC,27,57.1,,168027,13.4444
Dominic Friend,Nicholls St.,Slnd,27,53.6,,94.7864,3.8148
Chris Paige,Nicholls St.,Slnd,12,4.3,,9.70003,0.6667
Davis Baker,Southern Utah,Sum,29,88.8,,163016,17.6207
Llewchean Radford,Wagner,NEC,30,63.6,,171472,11
Shane Dansby,Belmont,ASun,32,64.8,,143437,10.25
Ryan Wittman,Cornell,Ivy,29,85.8,,158797,18.2069
Alex Tyler,Cornell,Ivy,29,55,,125741,6931
Pete Reynolds,Cornell,Ivy,20,5.5,,11.5624,0.55
Geoff Reeves,Cornell,Ivy,27,60,,100273,8.5926
Jon Jaques,Cornell,Ivy,12,2.7,,6.90483,0.5
Louis Dale,Cornell,Ivy,22,51.2,,113.53,13.1818
Tyrone Lewis,Niagara,MAAC,35,86.5,,249957,16.2286
Frank Turner,Canisius,MAAC,31,93.6,,194406,15.6129
Sam Mitchell,Tulsa,CUSA,35,36.4,,86.4328,2.4857
Marquise Gray,Michigan St.,B10,38,23.6,,71.5917,3.1316
Idong Ibok,Michigan St.,B10,28,10.7,,26.1406,0.3571
Goran Suton,Michigan St.,B10,33,56.3,,193905,10.1212
Lyndale Burleson,Nevada,WAC,32,59.5,,129224,3.4688
Jermyl Jackson-Wilson,Colorado,B12,30,50.7,,120547,5.3333
Ashton Hall,Lamar,Slnd,26,63,,108514,8.3846
Lamar Roberson,Louisiana Lafayette,SB,13,18.9,,46.6655,6.2308
Will Leiner,Penn St.,B10,13,2.5,,6.01098,0.3846
Trevor Welcher,Delaware St.,MEAC,30,75.2,,133819,5.3667
Derrick Mercer,American,Pat,32,92.4,,198211,11.7188
Kyle Coston,Portland St.,BSky,30,58.5,,109353,5.9
Brandon Williams,Stetson,ASun,28,27.2,,41.7656,1.7857
A.J. Smith,Stetson,ASun,27,74.6,,130587,13037
James Florence,Mercer,ASun,31,84.3,,204365,20.9032
Olivier Dupiton,Stetson,ASun,26,23.5,,62.9612,1.5769
Sheldon Oliver,Stetson,ASun,28,54.6,,110356,5.5
Rob Thomas,St. John's,BE,29,28.9,,65.2963,6.1034
Ryan Tillema,Green Bay,Horz,25,54.7,,124778,17
Randy Berry,Green Bay,Horz,31,63,,140803,6.3871
Delroy James,Rhode Island,A10,33,56.6,,160241,9.8788
Lamonte Ulmer,Rhode Island,A10,34,55.4,,151005,7.7353
Chris Darnell,William & Mary,CAA,26,46.6,,89.7673,4.1154
Andrew Jones,Penn St.,B10,38,63.8,,165047,6.1842
Patrick Sullivan,Southeastern Louisiana,Slnd,26,69.7,,153774,12.3077
Calvin Brock,Illinois,B10,34,43.1,,112458,5.2941
Patrick Moody,North Carolina,ACC,20,2.6,,11.3969,1.1
Jeremy Buttell,Illinois Chicago,Horz,25,40.1,,92.1138,4.72
Dior Lowhorn,San Francisco,WCC,28,81.1,,157,19.8929
Terry Martin,LSU,SEC,31,34.9,,78.9528,4.6452
Dazzmond Thornton,James Madison,CAA,33,33.6,,86.8774,5.9697
Josh Carter,Texas A&M,B12,33,75.7,,170272,13.6364
David Devezin,Marist,MAAC,27,58.7,,123122,10.3333
Mike Bardo,Akron,MAC,35,36.9,,87.7958,1.5429
Justin Knox,Alabama,SEC,30,51.9,,121283,5.7
Dane Brumagin,UMKC,Sum,27,64.5,,124648,15.4074
Trevor Gaskins,Mississippi,SEC,2,0.8,,1.75477,2
Chris McKnight,Akron,MAC,35,61.7,,161983,9.0857
Bryson Graham,Texas A&M,B12,4,0.7,,0.88776,0.75
Bryan Davis,Texas A&M,B12,33,66.6,,183628,10.9091
Derrick Roland,Texas A&M,B12,32,62.6,,114271,6.2812
Beau Gerber,Oklahoma,B12,13,1.9,,4.83858,0.6154
Tony Crocker,Oklahoma,B12,36,72,,167592,9.6111
Bryan Beasley,Rice,CUSA,32,38.9,,79.1792,3.0312
Donald Sloan,Texas A&M,B12,33,75.3,,161508,11.7273
Ceylon Elgin-Taylor,Montana,BSky,17,30.7,,46862,3.5294
Ryan Wiersma,Eastern Kentucky,OVC,27,43.1,,79.0762,1.4444
Jordan Ambers,Fresno St.,WAC,9,2.5,,3.81594,0.5556
Kevin Bland,UC Irvine,BW,30,74.6,,173679,10.3
Michael Hunter,UC Irvine,BW,29,73.1,,140066,12
Mark Payne,UC Davis,BW,29,75,,186092,10.4138
Rishawn Johnson,Canisius,MAAC,29,21.4,,45.7102,2.4828
Matt Karaffa,Bowling Green,MAC,6,0.6,,1.91679,1.1667
Lucas O'Rear,Northern Iowa,MVC,29,49.7,,133994,5.2414
Shemik Thompson,Central Connecticut,NEC,28,80.3,,174166,11.4643
Marcus Palmer,Central Connecticut,NEC,29,62,,127209,7931
Nate Garner,Evansville,MVC,30,72.4,,177184,10.1667
Clint Hopf,Evansville,MVC,28,15.5,,30.5042,1.6429
Kavon Lacey,Evansville,MVC,30,46,,96.4704,4.2667
Tyson Dirks,Drake,MVC,4,0.7,,0.846172,0
John Michael Hall,Drake,MVC,29,21.7,,56.7263,3
Terrence Simmons,Idaho,WAC,32,66.3,,121795,5.0312
Tony Gaffney,Massachusetts,A10,29,83.8,,271862,11.3448
Brandon Brown,Idaho,WAC,9,6.3,,10.0619,2.1111
Josh Williams,Troy,SB,31,31.6,,75.4914,2.8387
Derrick Brown,Xavier,A10,34,71.7,,187036,13.5588
Malik Boothe,St. John's,BE,25,61.7,,134508,6.44
D.J. Kennedy,St. John's,BE,34,86.2,,223297,12.9706
Jabari Edwards,George Washington,A10,14,4.3,,9.64676,0.2857
Joseph Katuka,George Washington,A10,21,24.2,,60.0249,4381
Paris Horne,St. John's,BE,33,83.8,,183562,14.6061
Justin Burrell,St. John's,BE,32,60.4,,134245,9
Dele Coker,St. John's,BE,31,22.7,,65.3238,2.3226
Sean Evans,St. John's,BE,34,68.5,,172435,10.2647
Jerrell Thompson,Sacred Heart,NEC,25,27.8,,59.2875,3.28
Gary Wallace,Robert Morris,NEC,35,55.7,,131.8,5.8571
Will Royal,Robert Morris,NEC,4,1.3,,3.66882,1
Bateko Francisco,Robert Morris,NEC,35,63.2,,154092,7.3143
Shawn Bowen,Stetson,ASun,27,11.7,,20.3346,0.6667
David Campbell,High Point,BSth,24,39.5,,76788,2.9167
Chris McEachin,Radford,BSth,22,40.5,,105163,8.8182
Kyle Duncan,Austin Peay,OVC,31,70.2,,142779,8.5161
Lyndon Jordan,Fairfield,MAAC,30,37.7,,82.7293,4.6333
Craig Austrie,Connecticut,BE,35,60.7,,128842,7.4286
Jeff Adrien,Connecticut,BE,35,82,,249245,13.7143
Domonic Tilford,South Alabama,SB,30,81.6,,151662,16.2333
Josh Alexander,Stephen F. Austin,Slnd,28,86.5,,171129,14.2143
Devan Downey,South Carolina,SEC,31,81.5,,223045,19.8065
DeAndre Coleman,South Alabama,SB,32,65.1,,185922,11625
Mark Wohlford,Purdue,B10,14,2.3,,4.95148,0.2857
Nick Price,San Diego,WCC,4,0.3,,0.366532,0
Ryan Bogan,Longwood,ind,27,81.5,,161141,13.5556
Jeffrey Ryan,Longwood,ind,23,16.9,,31.0072,2.7391
Brandon Evans,Longwood,ind,20,10.6,,32.6942,1.6
Anwar Johnson,Air Force,MWC,29,82.7,,139751,11.7931
Peter Laplante,George Washington,A10,6,1.3,,2.93379,0
D'Lancy Carter,St. Bonaventure,A10,30,33.5,,83.0206,3.8333
Charoy Bentley,Saint Joseph's,A10,25,15.7,,25.2873,1.2
Mike Singletary,Texas Tech,B12,32,58.4,,150961,12125
Cole Aldrich,Kansas,B12,35,73.8,,275974,14.8571
John Roberson,Texas Tech,B12,32,88.8,,190824,13.8438
D'walyn Roberts,Texas Tech,B12,32,41.5,,103351,4625
Brian Freeman,Long Beach St.,BW,30,38.2,,114896,2.7
Phil Jones,Charlotte,A10,30,45.8,,106914,7.3333
Garrison Carr,American,Pat,32,89.3,,175.1,17.9062
Matt Fiery,Bucknell,Pat,6,0.7,,1.02737,0.3333
Corey Bloom,Louisiana Lafayette,SB,19,18.6,,28.1569,2.4211
Doug Elwell,Wagner,NEC,30,34.6,,69.1364,2.7667
Brandon Holtz,Illinois St.,MVC,23,10.1,,17.5763,1.4783
Eric Vianney,Tulane,CUSA,29,44.4,,92.0504,5.6897
